epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,9893.24,1.33855,0.56138,1.02887,0.98196,0.98579,0.99105,0.61625,1.06708,0.40438,0.7874,0.00109,0.00109,0.00109
92,9997.48,1.33515,0.55634,1.02543,0.9811,0.98645,0.99085,0.61456,1.06574,0.40449,0.78688,0.000991,0.000991,0.000991
93,10102.5,1.32018,0.54909,1.01914,0.97992,0.98796,0.99075,0.61688,1.0646,0.40436,0.78651,0.000892,0.000892,0.000892
94,10207.4,1.31398,0.54688,1.02039,0.98013,0.9879,0.9909,0.6162,1.06417,0.40376,0.78653,0.000793,0.000793,0.000793
95,10312.9,1.3057,0.54149,1.01852,0.98082,0.98809,0.99091,0.61667,1.06377,0.40416,0.78641,0.000694,0.000694,0.000694
96,10417.4,1.29462,0.53955,1.01227,0.97952,0.98769,0.99095,0.61794,1.06346,0.40329,0.78632,0.000595,0.000595,0.000595
97,10522.2,1.29524,0.53828,1.01386,0.97923,0.9884,0.99095,0.61678,1.06386,0.40196,0.78629,0.000496,0.000496,0.000496
98,10626.8,1.29542,0.53587,1.01762,0.97972,0.9887,0.99099,0.61704,1.06323,0.40096,0.78609,0.000397,0.000397,0.000397
99,10731.8,1.28597,0.52853,1.00898,0.97975,0.98811,0.99097,0.61764,1.06243,0.39957,0.78582,0.000298,0.000298,0.000298
100,10836.4,1.27994,0.52492,1.00898,0.9805,0.98624,0.99101,0.6172,1.06186,0.3992,0.78561,0.000199,0.000199,0.000199
